"zi_stp1_state","zi_stp1_product","zi_stp1_amt"
BC,ECAP,0.00
MB,ECAP,0.00
NB,ECAP,0.00
NL,ECAP,0.00
NS,ECAP,0.00
NT,ECAP,0.00
NU,ECAP,0.00
ON,ECAP,0.00
PE,ECAP,0.00
QC,ECAP,0.00
YT,ECAP,0.00
BC,ECDD,0.00
MB,ECDD,0.00
NB,ECDD,0.00
NL,ECDD,0.00
NS,ECDD,0.00
NT,ECDD,0.00
NU,ECDD,0.00
ON,ECDD,0.00
PE,ECDD,0.00
QC,ECDD,0.00
YT,ECDD,0.00
BC,ECKY,0.00
MB,ECKY,0.00
NB,ECKY,0.00
NL,ECKY,0.00
NS,ECKY,0.00
NT,ECKY,0.00
NU,ECKY,0.00
ON,ECKY,0.00
PE,ECKY,0.00
QC,ECKY,0.00
YT,ECKY,0.00
BC,ECMC,0.00
MB,ECMC,0.00
NB,ECMC,0.00
NL,ECMC,0.00
NS,ECMC,0.00
NT,ECMC,0.00
NU,ECMC,0.00
ON,ECMC,0.00
PE,ECMC,0.00
QC,ECMC,0.00
YT,ECMC,0.00
BC,ECTO,0.00
MB,ECTO,0.00
NB,ECTO,0.00
NL,ECTO,0.00
NS,ECTO,0.00
NT,ECTO,0.00
NU,ECTO,0.00
ON,ECTO,0.00
PE,ECTO,0.00
QC,ECTO,0.00
YT,ECTO,0.00
AB,ECTP,0.00
BC,ECTP,0.00
MB,ECTP,0.00
NB,ECTP,0.00
NL,ECTP,0.00
NS,ECTP,0.00
NT,ECTP,0.00
NU,ECTP,0.00
ON,ECTP,0.00
PE,ECTP,0.00
SK,ECTP,0.00
YT,ECTP,0.00
BC,ECTR,0.00
MB,ECTR,0.00
NB,ECTR,0.00
NL,ECTR,0.00
NS,ECTR,0.00
NT,ECTR,0.00
NU,ECTR,0.00
ON,ECTR,0.00
PE,ECTR,0.00
QC,ECTR,0.00
YT,ECTR,0.00
BC,ECTW,0.00
MB,ECTW,0.00
NB,ECTW,0.00
NL,ECTW,0.00
NS,ECTW,0.00
NT,ECTW,0.00
NU,ECTW,0.00
ON,ECTW,0.00
PE,ECTW,0.00
QC,ECTW,0.00
YT,ECTW,0.00
BC,ECVS,0.00
MB,ECVS,0.00
NB,ECVS,0.00
NL,ECVS,0.00
NS,ECVS,0.00
NT,ECVS,0.00
NU,ECVS,0.00
ON,ECVS,0.00
PE,ECVS,0.00
QC,ECVS,0.00
YT,ECVS,0.00
BC,ECWD,0.00
MB,ECWD,0.00
NB,ECWD,0.00
NL,ECWD,0.00
NS,ECWD,0.00
NT,ECWD,0.00
NU,ECWD,0.00
ON,ECWD,0.00
PE,ECWD,0.00
QC,ECWD,0.00
YT,ECWD,0.00
AB,ECAI,0.00
SK,ECAI,0.00
AB,ECCI,0.00
SK,ECCI,0.00
AB,ECDI,0.00
SK,ECDI,0.00
AB,ECKI,0.00
SK,ECKI,0.00
AB,ECMI,0.00
SK,ECMI,0.00
AB,ECOI,0.00
SK,ECOI,0.00
AB,ECPI,0.00
SK,ECPI,0.00
AB,ECTI,0.00
SK,ECTI,0.00
AB,ECVI,0.00
SK,ECVI,0.00
AB,ECWI,0.00
SK,ECWI,0.00
BC,ECMP,0.00
MB,ECMP,0.00
NB,ECMP,0.00
NL,ECMP,0.00
NS,ECMP,0.00
NT,ECMP,0.00
NU,ECMP,0.00
ON,ECMP,0.00
PE,ECMP,0.00
QC,ECMP,0.00
YT,ECMP,0.00
QC,ECTL,0.00
QC,ECTP,0.00
ON,ECLS,0.00
SK,ECLS,0.00
NL,ECLS,0.00
AB,ECLS,0.00
MB,ECLS,0.00
NT,ECLS,0.00
NS,ECLS,0.00
NU,ECLS,0.00
PE,ECLS,0.00
YT,ECLS,0.00
ON,ECPL,0.00
SK,ECPL,0.00
NL,ECPL,0.00
AB,ECPL,0.00
MB,ECPL,0.00
NT,ECPL,0.00
NS,ECPL,0.00
NU,ECPL,0.00
PE,ECPL,0.00
YT,ECPL,0.00
QC,ECPL,0.00
BC,ECPL,0.00
NB,ECPL,0.00
