"sg_plc_plc","sg_plc_desc","sg_plc_rstype","sg_plc_ncm","sg_plc_district","sg_plc_unavaildt","sg_plc_mtype","sg_plc_vehtype","sg_plc_ssdate","sg_plc_esdate","sg_plc_sbdate","sg_plc_ebdate","sg_plc_crby","sg_plc_crdt","sg_plc_mtby","sg_plc_mtdt","sg_plc_accttype"
SCAP,SCHOMP/OP APPEARANCE,P,A,"",1799-12-31,P,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCWF,ONE PROTECT WINDSHIELD FMC,P,A,"",1799-12-31,P,V,2021-02-01,1799-12-31,2021-02-01,1799-12-31,Template,2021-01-26,,, 
SCGH,ONE PROTECT GAP HFS,G,A,"",1799-12-31,G,V,2021-04-01,1799-12-31,2021-04-01,1799-12-31,Template,2021-03-22,,, 
SCMM,ONE PROTECT PPM MFS,M,A,"",1799-12-31,M,V,2021-02-24,1799-12-31,2021-02-24,1799-12-31,Template,2021-02-23,,, 
SCVD,ONE PROTECT VSC D2C 03/22,V,A,"",1799-12-31,V,V,2022-07-11,1799-12-31,2022-07-11,1799-12-31,Template,2022-07-12,,, 
OPAP,ONE PROTECT APPEARANCE,P,A,"",1799-12-31,P,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPCP,ONE PROTECT CPO VSC,V,A,"",1799-12-31,V,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPDD,ONE PROTECT DENT,P,A,"",1799-12-31,P,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPPL,ONE PROTECT GAP PLUS,G,A,"",1799-12-31,G,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPKY,ONE PROTECT KEY,P,A,"",1799-12-31,P,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPLS,ONE PROTECT LEASE END,L,A,"",1799-12-31,L,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPMC,ONE PROTECT MULTI-COVERAGE,P,A,"",1799-12-31,TWDK,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPPM,ONE PROTECT PPM,M,A,"",1799-12-31,M,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPTR,ONE PROTECT TERM PROTECTION,V,A,"",1799-12-31,V,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPTH,ONE PROTECT THEFT,E,A,"",1799-12-31,E,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPTP,ONE PROTECT THEFT + ID,E,A,"",1799-12-31,EP,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPTW,ONE PROTECT TIRE & WHEEL,T,A,"",1799-12-31,T,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPVS,ONE PROTECT VSC,V,A,"",1799-12-31,V,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPVP,ONE PROTECT VSC POWERTRAIN+,V,A,"",1799-12-31,V,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPWD,ONE PROTECT WINDSHIELD,P,A,"",1799-12-31,P,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPTS,ONE PROTECT TERM PLUS,V,A,"",1799-12-31,V,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
OPGP,ONE PROTECT GAP,G,A,"",1799-12-31,G,V,2023-06-01,1799-12-31,2023-06-01,1799-12-31,Template,2023-05-31,,, 
SCCP,SCHOMP/OP CPO VSC,V,A,"",1799-12-31,V,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCDD,SCHOMP/OP DENT,P,A,"",1799-12-31,P,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCDF,SCHOMP/OP DENT FMC,P,A,"",1799-12-31,P,V,2021-02-01,1799-12-31,2021-02-01,1799-12-31,Template,2021-01-26,Template,2023-06-15, 
SCGM,SCHOMP/OP GAP MFS,G,A,"",1799-12-31,G,V,2021-04-01,1799-12-31,2021-04-01,1799-12-31,Template,2021-03-22,Template,2023-06-15, 
SCGP,SCHOMP/OP GAP,G,A,"",1799-12-31,G,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCKY,SCHOMP/OP KEY,P,A,"",1799-12-31,P,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCLS,SCHOMP/OP LEASE END,L,A,"",1799-12-31,L,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,TEMPLATE,2020-12-15,Template,2023-06-15, 
SCMC,SCHOMP/OP MULTI-COVERAGE,P,A,"",1799-12-31,TWDK,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCMF,SCHOMP/OP MULTI-COVERAGE FMC,P,A,"",1799-12-31,TWDK,V,2021-02-01,1799-12-31,2021-02-01,1799-12-31,Template,2021-01-26,Template,2023-06-15, 
SCPL,SCHOMP/OP GAP PLUS,G,A,"",1799-12-31,G,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCPM,SCHOMP/OP PPM,M,A,"",1799-12-31,M,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCTF,SCHOMP/OP TIRE & WHEEL FMC,T,A,"",1799-12-31,T,V,2021-02-01,1799-12-31,2021-02-01,1799-12-31,Template,2021-01-26,Template,2023-06-15, 
SCTH,SCHOMP/OP THEFT,E,A,"",1799-12-31,E,V,2021-02-01,1799-12-31,2021-02-01,1799-12-31,Template,2021-01-26,Template,2023-06-15, 
SCTP,SCHOMP/OP THEFT + ID,E,A,"",1799-12-31,EP,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCTR,SCHOMP/OP TERM PROTECTION,V,A,"",1799-12-31,V,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCTS,SCHOMP/OP TERM PLUS,V,A,"",1799-12-31,V,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCTW,SCHOMP/OP TIRE & WHEEL,T,A,"",1799-12-31,T,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCVP,SCHOMP/OP VSC POWERTRAIN+,V,A,"",1799-12-31,V,V,2022-04-22,1799-12-31,2022-04-22,1799-12-31,Template,2022-04-22,Template,2023-06-15, 
SCVS,SCHOMP/OP VSC,V,A,"",1799-12-31,V,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
SCWD,SCHOMP/OP WINDSHIELD,P,A,"",1799-12-31,P,V,2021-01-05,1799-12-31,2021-01-05,1799-12-31,Template,2020-12-15,Template,2023-06-15, 
